Comment,Designator,Footprint,LCSC
?,SW41,SW_MX_1u,
?,SW2,SW_MX_1u,
?,SW10,SW_MX_1u,
?,SW27,SW_MX_1u,
?,SW34,SW_MX_1u,
?,SW35,SW_MX_1u,
?,SW11,SW_MX_1u,
?,SW58,SW_MX_1u,
?,SW73,SW_MX_1u,
?,SW8,SW_MX_1u,
?,SW68,SW_MX_1u,
?,SW88,SW_MX_1u,
?,SW47,SW_MX_1u,
?,SW39,SW_MX_1u,
?,SW16,SW_MX_1u,
?,SW6,SW_MX_1u,
?,SW25,SW_MX_1u,
?,SW29,SW_MX_1u,
?,SW99,SW_MX_1.25u,
?,SW13,SW_MX_1u,
?,SW63,SW_MX_1u,
ANSI_ENTER,S3,STAB_MX_2.25u,
?,SW101,SW_MX_1.25u,
SK6812MINI-E,LED4,LED_6028R,
?,SW23,SW_MX_1u,
?,SW89,SW_MX_1u,
?,SW94,SW_MX_1u,
?,SW76,SW_MX_1u,
?,SW51,SW_MX_1u,
?,SW59,SW_MX_1u,
?,SW36,SW_MX_1.5u,
?,SW60,SW_MX_1u,
?,SW72,SW_MX_1.25u,
6.25U_SPACE,S6,STAB_MX_6.25u,
?,SW33,SW_MX_1u,
?,SW30,SW_MX_1u,
?,SW42,SW_MX_1u,
?,SW4,SW_MX_1u,
?,SW69,SW_MX_1u,
?,SW98,SW_MX_1u,
?,SW74,SW_MX_1u,
?,SW82,SW_MX_1u,
?,SW100,SW_MX_1.5u,
?,SW48,SW_MX_1u,
?,SW91,SW_MX_1.25u,
?,SW56,SW_MX_1u,
?,SW75,SW_MX_1u,
?,SW31,SW_MX_1u,
?,SW80,SW_MX_1u,
?,SW54,SW_MX_1.75u_stp,
?,SW64,SW_MX_1u,
?,SW21,SW_MX_1u,
BACKSPACE,S1,STAB_MX_2u,
?,SW3,SW_MX_1u,
?,SW84,SW_MX_1u,
SK6812MINI-E,LED5,LED_6028R,
?,SW44,SW_MX_1u,
?,SW78,SW_MX_1u,
?,SW15,SW_MX_1u,
?,SW106,SW_MX_1u,
SK6812MINI-E,LED7,LED_6028R,
?,SW57,SW_MX_1u,
?,SW79,SW_MX_1u,
?,SW46,SW_MX_1u,
?,SW24,SW_MX_1u,
?,SW43,SW_MX_1u,
?,SW12,SW_MX_1u,
?,SW77,SW_MX_1u,
?,SW83,SW_MX_1u,
?,SW61,SW_MX_1u,
?,SW50,SW_MX_1u,
?,SW45,SW_MX_1u,
?,SW22,SW_MX_1u,
?,SW103,SW_MX_1.25u,
?,SW53,SW_MX_1u,
?,SW37,SW_MX_1u,
?,SW20,SW_MX_1u,
?,SW14,SW_MX_1u,
SK6812MINI-E,LED1,LED_6028R,
?,SW81,SW_MX_1u,
RSHIFT,S5,STAB_MX_2.75u,
?,SW7,SW_MX_1u,
?,SW70,SW_MX_1u,
?,SW18,SW_MX_1u,
?,SW5,SW_MX_1u,
?,SW49,SW_MX_1.5u,
?,SW1,SW_MX_1u,
?,SW62,SW_MX_1u,
?,SW9,SW_MX_1u,
?,SW67,SW_MX_1u,
USB_C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
?,SW71,SW_MX_1u,
?,SW32,SW_MX_1u,
?,SW95,SW_MX_1.25u,
?,SW105,SW_MX_1.25u,
?,SW65,SW_MX_1u,
?,SW90,SW_MX_1u,
?,SW55,SW_MX_1.75u,
ISO_ENTER,S2,STAB_MX_ISO_FLIPPED,
?,SW85,SW_MX_1.75u,
?,SW38,SW_MX_1u,
?,SW92,SW_MX_1.5u,
?,SW19,SW_MX_1u,
?,SW17,SW_MX_1u,
?,SW93,SW_MX_1.25u,
?,SW102,SW_MX_1u,
?,SW96,SW_MX_1.5u,
SK6812MINI-E,LED2,LED_6028R,
?,SW52,SW_MX_1u,
?,SW26,SW_MX_1u,
?,SW40,SW_MX_1u,
SK6812MINI-E,LED6,LED_6028R,
?,SW86,SW_MX_1u,
LSHIFT,S4,STAB_MX_2.25u,
7U_SPACE,S7,STAB_MX_7u,
?,SW108,SW_MX_1u,
?,SW107,SW_MX_1u,
